,x,y,Region
-228.000000456_125.0,-228.000000456,125.0,midrange
-228.000000456_150.0,-228.000000456,150.0,midrange
-204.000000408_0.0,-204.000000408,0.0,midrange
-204.000000408_25.0,-204.000000408,25.0,midrange
-180.00000036_0.0,-180.00000036,0.0,midrange
-180.00000036_25.0,-180.00000036,25.0,midrange
-180.00000036_75.0,-180.00000036,75.0,midrange
-180.00000036_100.0,-180.00000036,100.0,midrange
-156.00000031200003_0.0,-156.00000031200003,0.0,midrange
-156.00000031200003_25.0,-156.00000031200003,25.0,midrange
-156.00000031200003_50.0,-156.00000031200003,50.0,midrange
-156.00000031200003_75.0,-156.00000031200003,75.0,midrange
-156.00000031200003_125.0,-156.00000031200003,125.0,midrange
-156.00000031200003_150.0,-156.00000031200003,150.0,midrange
-156.00000031200003_175.0,-156.00000031200003,175.0,midrange
-132.00000026400002_0.0,-132.00000026400002,0.0,midrange
-132.00000026400002_25.0,-132.00000026400002,25.0,midrange
-132.00000026400002_50.0,-132.00000026400002,50.0,midrange
-132.00000026400002_75.0,-132.00000026400002,75.0,midrange
-132.00000026400002_100.0,-132.00000026400002,100.0,midrange
-132.00000026400002_125.0,-132.00000026400002,125.0,midrange
-132.00000026400002_150.0,-132.00000026400002,150.0,midrange
-132.00000026400002_175.0,-132.00000026400002,175.0,midrange
-132.00000026400002_200.0,-132.00000026400002,200.0,midrange
-108.00000021600002_0.0,-108.00000021600002,0.0,midrange
-108.00000021600002_25.0,-108.00000021600002,25.0,midrange
-108.00000021600002_50.0,-108.00000021600002,50.0,midrange
-108.00000021600002_75.0,-108.00000021600002,75.0,midrange
-108.00000021600002_100.0,-108.00000021600002,100.0,midrange
-108.00000021600002_125.0,-108.00000021600002,125.0,midrange
-108.00000021600002_150.0,-108.00000021600002,150.0,midrange
-108.00000021600002_175.0,-108.00000021600002,175.0,midrange
-84.00000016800001_0.0,-84.00000016800001,0.0,midrange
-84.00000016800001_25.0,-84.00000016800001,25.0,midrange
-84.00000016800001_50.0,-84.00000016800001,50.0,midrange
-84.00000016800001_75.0,-84.00000016800001,75.0,midrange
-84.00000016800001_100.0,-84.00000016800001,100.0,midrange
-84.00000016800001_125.0,-84.00000016800001,125.0,midrange
-84.00000016800001_150.0,-84.00000016800001,150.0,midrange
-84.00000016800001_175.0,-84.00000016800001,175.0,midrange
-84.00000016800001_200.0,-84.00000016800001,200.0,midrange
-60.00000012000001_0.0,-60.00000012000001,0.0,midrange
-60.00000012000001_100.0,-60.00000012000001,100.0,midrange
-60.00000012000001_125.0,-60.00000012000001,125.0,midrange
-60.00000012000001_150.0,-60.00000012000001,150.0,midrange
-60.00000012000001_175.0,-60.00000012000001,175.0,midrange
-60.00000012000001_200.0,-60.00000012000001,200.0,midrange
-36.000000072000034_100.0,-36.000000072000034,100.0,midrange
-36.000000072000034_125.0,-36.000000072000034,125.0,midrange
-36.000000072000034_150.0,-36.000000072000034,150.0,midrange
-36.000000072000034_175.0,-36.000000072000034,175.0,midrange
-36.000000072000034_200.0,-36.000000072000034,200.0,midrange
-36.000000072000034_225.0,-36.000000072000034,225.0,midrange
-12.00000002400003_125.0,-12.00000002400003,125.0,midrange
-12.00000002400003_150.0,-12.00000002400003,150.0,midrange
-12.00000002400003_175.0,-12.00000002400003,175.0,midrange
-12.00000002400003_200.0,-12.00000002400003,200.0,midrange
-12.00000002400003_225.0,-12.00000002400003,225.0,midrange
12.000000023999974_125.0,12.000000023999974,125.0,midrange
12.000000023999974_150.0,12.000000023999974,150.0,midrange
12.000000023999974_175.0,12.000000023999974,175.0,midrange
12.000000023999974_200.0,12.000000023999974,200.0,midrange
12.000000023999974_225.0,12.000000023999974,225.0,midrange
12.000000023999974_300.0,12.000000023999974,300.0,midrange
36.00000007199998_125.0,36.00000007199998,125.0,midrange
36.00000007199998_150.0,36.00000007199998,150.0,midrange
36.00000007199998_175.0,36.00000007199998,175.0,midrange
36.00000007199998_200.0,36.00000007199998,200.0,midrange
60.00000011999998_0.0,60.00000011999998,0.0,midrange
60.00000011999998_50.0,60.00000011999998,50.0,midrange
60.00000011999998_100.0,60.00000011999998,100.0,midrange
60.00000011999998_125.0,60.00000011999998,125.0,midrange
60.00000011999998_150.0,60.00000011999998,150.0,midrange
60.00000011999998_175.0,60.00000011999998,175.0,midrange
60.00000011999998_200.0,60.00000011999998,200.0,midrange
84.00000016799999_0.0,84.00000016799999,0.0,midrange
84.00000016799999_25.0,84.00000016799999,25.0,midrange
84.00000016799999_75.0,84.00000016799999,75.0,midrange
84.00000016799999_125.0,84.00000016799999,125.0,midrange
84.00000016799999_150.0,84.00000016799999,150.0,midrange
84.00000016799999_175.0,84.00000016799999,175.0,midrange
84.00000016799999_200.0,84.00000016799999,200.0,midrange
108.00000021599999_25.0,108.00000021599999,25.0,midrange
108.00000021599999_50.0,108.00000021599999,50.0,midrange
108.00000021599999_75.0,108.00000021599999,75.0,midrange
108.00000021599999_125.0,108.00000021599999,125.0,midrange
108.00000021599999_150.0,108.00000021599999,150.0,midrange
108.00000021599999_175.0,108.00000021599999,175.0,midrange
108.00000021599999_200.0,108.00000021599999,200.0,midrange
132.000000264_0.0,132.000000264,0.0,midrange
132.000000264_25.0,132.000000264,25.0,midrange
132.000000264_50.0,132.000000264,50.0,midrange
132.000000264_75.0,132.000000264,75.0,midrange
132.000000264_100.0,132.000000264,100.0,midrange
132.000000264_125.0,132.000000264,125.0,midrange
132.000000264_150.0,132.000000264,150.0,midrange
132.000000264_175.0,132.000000264,175.0,midrange
156.000000312_0.0,156.000000312,0.0,midrange
156.000000312_25.0,156.000000312,25.0,midrange
156.000000312_50.0,156.000000312,50.0,midrange
156.000000312_75.0,156.000000312,75.0,midrange
156.000000312_100.0,156.000000312,100.0,midrange
156.000000312_125.0,156.000000312,125.0,midrange
156.000000312_150.0,156.000000312,150.0,midrange
180.00000036_0.0,180.00000036,0.0,midrange
180.00000036_25.0,180.00000036,25.0,midrange
180.00000036_50.0,180.00000036,50.0,midrange
180.00000036_75.0,180.00000036,75.0,midrange
204.000000408_25.0,204.000000408,25.0,midrange
204.000000408_175.0,204.000000408,175.0,midrange
-216.00000043200004_87.5,-216.00000043200004,87.5,midrange
-192.00000038400003_12.5,-192.00000038400003,12.5,midrange
-192.00000038400003_37.5,-192.00000038400003,37.5,midrange
-192.00000038400003_87.5,-192.00000038400003,87.5,midrange
-168.00000033600003_12.5,-168.00000033600003,12.5,midrange
-168.00000033600003_37.5,-168.00000033600003,37.5,midrange
-168.00000033600003_62.5,-168.00000033600003,62.5,midrange
-168.00000033600003_87.5,-168.00000033600003,87.5,midrange
-168.00000033600003_137.5,-168.00000033600003,137.5,midrange
-168.00000033600003_237.5,-168.00000033600003,237.5,midrange
-144.00000028800002_12.5,-144.00000028800002,12.5,midrange
-144.00000028800002_37.5,-144.00000028800002,37.5,midrange
-144.00000028800002_62.5,-144.00000028800002,62.5,midrange
-144.00000028800002_87.5,-144.00000028800002,87.5,midrange
-144.00000028800002_112.5,-144.00000028800002,112.5,midrange
-144.00000028800002_137.5,-144.00000028800002,137.5,midrange
-144.00000028800002_162.5,-144.00000028800002,162.5,midrange
-120.00000024000002_12.5,-120.00000024000002,12.5,midrange
-120.00000024000002_37.5,-120.00000024000002,37.5,midrange
-120.00000024000002_62.5,-120.00000024000002,62.5,midrange
-120.00000024000002_87.5,-120.00000024000002,87.5,midrange
-120.00000024000002_112.5,-120.00000024000002,112.5,midrange
-120.00000024000002_137.5,-120.00000024000002,137.5,midrange
-120.00000024000002_162.5,-120.00000024000002,162.5,midrange
-120.00000024000002_187.5,-120.00000024000002,187.5,midrange
-120.00000024000002_212.5,-120.00000024000002,212.5,midrange
-96.00000019200002_12.5,-96.00000019200002,12.5,midrange
-96.00000019200002_37.5,-96.00000019200002,37.5,midrange
-96.00000019200002_62.5,-96.00000019200002,62.5,midrange
-96.00000019200002_87.5,-96.00000019200002,87.5,midrange
-96.00000019200002_112.5,-96.00000019200002,112.5,midrange
-96.00000019200002_137.5,-96.00000019200002,137.5,midrange
-96.00000019200002_162.5,-96.00000019200002,162.5,midrange
-96.00000019200002_187.5,-96.00000019200002,187.5,midrange
-72.00000014400001_62.5,-72.00000014400001,62.5,midrange
-72.00000014400001_87.5,-72.00000014400001,87.5,midrange
-72.00000014400001_112.5,-72.00000014400001,112.5,midrange
-72.00000014400001_137.5,-72.00000014400001,137.5,midrange
-72.00000014400001_162.5,-72.00000014400001,162.5,midrange
-72.00000014400001_187.5,-72.00000014400001,187.5,midrange
-48.00000009600001_112.5,-48.00000009600001,112.5,midrange
-48.00000009600001_137.5,-48.00000009600001,137.5,midrange
-48.00000009600001_162.5,-48.00000009600001,162.5,midrange
-48.00000009600001_187.5,-48.00000009600001,187.5,midrange
-48.00000009600001_212.5,-48.00000009600001,212.5,midrange
-24.000000048000004_137.5,-24.000000048000004,137.5,midrange
-24.000000048000004_162.5,-24.000000048000004,162.5,midrange
-24.000000048000004_187.5,-24.000000048000004,187.5,midrange
-24.000000048000004_212.5,-24.000000048000004,212.5,midrange
-24.000000048000004_237.5,-24.000000048000004,237.5,midrange
0.0_137.5,0.0,137.5,midrange
0.0_162.5,0.0,162.5,midrange
0.0_187.5,0.0,187.5,midrange
0.0_212.5,0.0,212.5,midrange
24.000000048000004_112.5,24.000000048000004,112.5,midrange
24.000000048000004_137.5,24.000000048000004,137.5,midrange
24.000000048000004_162.5,24.000000048000004,162.5,midrange
24.000000048000004_187.5,24.000000048000004,187.5,midrange
24.000000048000004_212.5,24.000000048000004,212.5,midrange
48.00000009600001_112.5,48.00000009600001,112.5,midrange
48.00000009600001_137.5,48.00000009600001,137.5,midrange
48.00000009600001_162.5,48.00000009600001,162.5,midrange
48.00000009600001_187.5,48.00000009600001,187.5,midrange
48.00000009600001_212.5,48.00000009600001,212.5,midrange
72.00000014400001_12.5,72.00000014400001,12.5,midrange
72.00000014400001_37.5,72.00000014400001,37.5,midrange
72.00000014400001_62.5,72.00000014400001,62.5,midrange
72.00000014400001_87.5,72.00000014400001,87.5,midrange
72.00000014400001_112.5,72.00000014400001,112.5,midrange
72.00000014400001_137.5,72.00000014400001,137.5,midrange
72.00000014400001_162.5,72.00000014400001,162.5,midrange
72.00000014400001_187.5,72.00000014400001,187.5,midrange
72.00000014400001_212.5,72.00000014400001,212.5,midrange
96.00000019199996_37.5,96.00000019199996,37.5,midrange
96.00000019199996_62.5,96.00000019199996,62.5,midrange
96.00000019199996_87.5,96.00000019199996,87.5,midrange
96.00000019199996_112.5,96.00000019199996,112.5,midrange
96.00000019199996_137.5,96.00000019199996,137.5,midrange
96.00000019199996_162.5,96.00000019199996,162.5,midrange
96.00000019199996_187.5,96.00000019199996,187.5,midrange
120.00000023999996_12.5,120.00000023999996,12.5,midrange
120.00000023999996_37.5,120.00000023999996,37.5,midrange
120.00000023999996_62.5,120.00000023999996,62.5,midrange
120.00000023999996_87.5,120.00000023999996,87.5,midrange
120.00000023999996_112.5,120.00000023999996,112.5,midrange
120.00000023999996_137.5,120.00000023999996,137.5,midrange
120.00000023999996_162.5,120.00000023999996,162.5,midrange
120.00000023999996_187.5,120.00000023999996,187.5,midrange
144.00000028799997_12.5,144.00000028799997,12.5,midrange
144.00000028799997_37.5,144.00000028799997,37.5,midrange
144.00000028799997_62.5,144.00000028799997,62.5,midrange
144.00000028799997_87.5,144.00000028799997,87.5,midrange
144.00000028799997_112.5,144.00000028799997,112.5,midrange
144.00000028799997_137.5,144.00000028799997,137.5,midrange
144.00000028799997_162.5,144.00000028799997,162.5,midrange
168.00000033599997_12.5,168.00000033599997,12.5,midrange
168.00000033599997_37.5,168.00000033599997,37.5,midrange
168.00000033599997_87.5,168.00000033599997,87.5,midrange
168.00000033599997_112.5,168.00000033599997,112.5,midrange
168.00000033599997_162.5,168.00000033599997,162.5,midrange
192.00000038399997_12.5,192.00000038399997,12.5,midrange
192.00000038399997_87.5,192.00000038399997,87.5,midrange
192.00000038399997_137.5,192.00000038399997,137.5,midrange
216.00000043199998_87.5,216.00000043199998,87.5,midrange
-228.000000456_0.0,-228.000000456,0.0,downtown
-228.000000456_25.0,-228.000000456,25.0,downtown
-228.000000456_50.0,-228.000000456,50.0,downtown
-228.000000456_75.0,-228.000000456,75.0,downtown
-228.000000456_100.0,-228.000000456,100.0,downtown
-204.000000408_125.0,-204.000000408,125.0,downtown
-204.000000408_150.0,-204.000000408,150.0,downtown
-204.000000408_175.0,-204.000000408,175.0,downtown
-204.000000408_200.0,-204.000000408,200.0,downtown
-180.00000036_150.0,-180.00000036,150.0,downtown
-180.00000036_175.0,-180.00000036,175.0,downtown
-180.00000036_200.0,-180.00000036,200.0,downtown
-180.00000036_225.0,-180.00000036,225.0,downtown
-156.00000031200003_100.0,-156.00000031200003,100.0,downtown
-156.00000031200003_200.0,-156.00000031200003,200.0,downtown
-156.00000031200003_225.0,-156.00000031200003,225.0,downtown
-156.00000031200003_250.0,-156.00000031200003,250.0,downtown
-132.00000026400002_225.0,-132.00000026400002,225.0,downtown
-132.00000026400002_250.0,-132.00000026400002,250.0,downtown
-132.00000026400002_275.0,-132.00000026400002,275.0,downtown
-108.00000021600002_200.0,-108.00000021600002,200.0,downtown
-108.00000021600002_225.0,-108.00000021600002,225.0,downtown
-108.00000021600002_250.0,-108.00000021600002,250.0,downtown
-108.00000021600002_275.0,-108.00000021600002,275.0,downtown
-84.00000016800001_225.0,-84.00000016800001,225.0,downtown
-84.00000016800001_250.0,-84.00000016800001,250.0,downtown
-84.00000016800001_275.0,-84.00000016800001,275.0,downtown
-60.00000012000001_250.0,-60.00000012000001,250.0,downtown
-60.00000012000001_275.0,-60.00000012000001,275.0,downtown
-36.000000072000034_250.0,-36.000000072000034,250.0,downtown
-36.000000072000034_275.0,-36.000000072000034,275.0,downtown
-12.00000002400003_250.0,-12.00000002400003,250.0,downtown
-12.00000002400003_275.0,-12.00000002400003,275.0,downtown
-12.00000002400003_300.0,-12.00000002400003,300.0,downtown
12.000000023999974_250.0,12.000000023999974,250.0,downtown
12.000000023999974_275.0,12.000000023999974,275.0,downtown
36.00000007199998_250.0,36.00000007199998,250.0,downtown
36.00000007199998_275.0,36.00000007199998,275.0,downtown
60.00000011999998_250.0,60.00000011999998,250.0,downtown
60.00000011999998_275.0,60.00000011999998,275.0,downtown
84.00000016799999_225.0,84.00000016799999,225.0,downtown
84.00000016799999_250.0,84.00000016799999,250.0,downtown
84.00000016799999_275.0,84.00000016799999,275.0,downtown
108.00000021599999_0.0,108.00000021599999,0.0,downtown
108.00000021599999_100.0,108.00000021599999,100.0,downtown
108.00000021599999_225.0,108.00000021599999,225.0,downtown
108.00000021599999_250.0,108.00000021599999,250.0,downtown
108.00000021599999_275.0,108.00000021599999,275.0,downtown
132.000000264_200.0,132.000000264,200.0,downtown
132.000000264_225.0,132.000000264,225.0,downtown
132.000000264_250.0,132.000000264,250.0,downtown
132.000000264_275.0,132.000000264,275.0,downtown
156.000000312_175.0,156.000000312,175.0,downtown
156.000000312_200.0,156.000000312,200.0,downtown
156.000000312_225.0,156.000000312,225.0,downtown
156.000000312_250.0,156.000000312,250.0,downtown
180.00000036_150.0,180.00000036,150.0,downtown
180.00000036_175.0,180.00000036,175.0,downtown
180.00000036_200.0,180.00000036,200.0,downtown
180.00000036_225.0,180.00000036,225.0,downtown
204.000000408_125.0,204.000000408,125.0,downtown
204.000000408_150.0,204.000000408,150.0,downtown
204.000000408_200.0,204.000000408,200.0,downtown
228.00000045599995_0.0,228.00000045599995,0.0,downtown
228.00000045599995_25.0,228.00000045599995,25.0,downtown
228.00000045599995_50.0,228.00000045599995,50.0,downtown
228.00000045599995_75.0,228.00000045599995,75.0,downtown
228.00000045599995_100.0,228.00000045599995,100.0,downtown
228.00000045599995_125.0,228.00000045599995,125.0,downtown
228.00000045599995_150.0,228.00000045599995,150.0,downtown
-240.00000048_12.5,-240.00000048,12.5,downtown
-240.00000048_37.5,-240.00000048,37.5,downtown
-240.00000048_62.5,-240.00000048,62.5,downtown
-240.00000048_87.5,-240.00000048,87.5,downtown
-240.00000048_112.5,-240.00000048,112.5,downtown
-216.00000043200004_12.5,-216.00000043200004,12.5,downtown
-216.00000043200004_37.5,-216.00000043200004,37.5,downtown
-216.00000043200004_62.5,-216.00000043200004,62.5,downtown
-216.00000043200004_112.5,-216.00000043200004,112.5,downtown
-216.00000043200004_137.5,-216.00000043200004,137.5,downtown
-216.00000043200004_162.5,-216.00000043200004,162.5,downtown
-192.00000038400003_137.5,-192.00000038400003,137.5,downtown
-192.00000038400003_162.5,-192.00000038400003,162.5,downtown
-192.00000038400003_187.5,-192.00000038400003,187.5,downtown
-192.00000038400003_212.5,-192.00000038400003,212.5,downtown
-168.00000033600003_112.5,-168.00000033600003,112.5,downtown
-168.00000033600003_162.5,-168.00000033600003,162.5,downtown
-168.00000033600003_187.5,-168.00000033600003,187.5,downtown
-168.00000033600003_212.5,-168.00000033600003,212.5,downtown
-144.00000028800002_187.5,-144.00000028800002,187.5,downtown
-144.00000028800002_212.5,-144.00000028800002,212.5,downtown
-144.00000028800002_237.5,-144.00000028800002,237.5,downtown
-144.00000028800002_262.5,-144.00000028800002,262.5,downtown
-120.00000024000002_237.5,-120.00000024000002,237.5,downtown
-120.00000024000002_262.5,-120.00000024000002,262.5,downtown
-96.00000019200002_212.5,-96.00000019200002,212.5,downtown
-96.00000019200002_237.5,-96.00000019200002,237.5,downtown
-96.00000019200002_262.5,-96.00000019200002,262.5,downtown
-72.00000014400001_212.5,-72.00000014400001,212.5,downtown
-72.00000014400001_237.5,-72.00000014400001,237.5,downtown
-72.00000014400001_262.5,-72.00000014400001,262.5,downtown
-72.00000014400001_287.5,-72.00000014400001,287.5,downtown
-48.00000009600001_237.5,-48.00000009600001,237.5,downtown
-48.00000009600001_262.5,-48.00000009600001,262.5,downtown
-48.00000009600001_287.5,-48.00000009600001,287.5,downtown
-24.000000048000004_262.5,-24.000000048000004,262.5,downtown
-24.000000048000004_287.5,-24.000000048000004,287.5,downtown
0.0_237.5,0.0,237.5,downtown
0.0_262.5,0.0,262.5,downtown
0.0_287.5,0.0,287.5,downtown
24.000000048000004_237.5,24.000000048000004,237.5,downtown
24.000000048000004_262.5,24.000000048000004,262.5,downtown
24.000000048000004_287.5,24.000000048000004,287.5,downtown
48.00000009600001_237.5,48.00000009600001,237.5,downtown
48.00000009600001_262.5,48.00000009600001,262.5,downtown
72.00000014400001_237.5,72.00000014400001,237.5,downtown
72.00000014400001_262.5,72.00000014400001,262.5,downtown
72.00000014400001_287.5,72.00000014400001,287.5,downtown
96.00000019199996_237.5,96.00000019199996,237.5,downtown
96.00000019199996_262.5,96.00000019199996,262.5,downtown
120.00000023999996_212.5,120.00000023999996,212.5,downtown
120.00000023999996_237.5,120.00000023999996,237.5,downtown
120.00000023999996_262.5,120.00000023999996,262.5,downtown
144.00000028799997_187.5,144.00000028799997,187.5,downtown
144.00000028799997_212.5,144.00000028799997,212.5,downtown
144.00000028799997_237.5,144.00000028799997,237.5,downtown
144.00000028799997_262.5,144.00000028799997,262.5,downtown
168.00000033599997_187.5,168.00000033599997,187.5,downtown
168.00000033599997_212.5,168.00000033599997,212.5,downtown
168.00000033599997_237.5,168.00000033599997,237.5,downtown
192.00000038399997_162.5,192.00000038399997,162.5,downtown
192.00000038399997_187.5,192.00000038399997,187.5,downtown
192.00000038399997_212.5,192.00000038399997,212.5,downtown
216.00000043199998_12.5,216.00000043199998,12.5,downtown
216.00000043199998_37.5,216.00000043199998,37.5,downtown
216.00000043199998_62.5,216.00000043199998,62.5,downtown
216.00000043199998_112.5,216.00000043199998,112.5,downtown
216.00000043199998_137.5,216.00000043199998,137.5,downtown
216.00000043199998_162.5,216.00000043199998,162.5,downtown
240.00000048000004_12.5,240.00000048000004,12.5,downtown
240.00000048000004_37.5,240.00000048000004,37.5,downtown
240.00000048000004_62.5,240.00000048000004,62.5,downtown
240.00000048000004_87.5,240.00000048000004,87.5,downtown
240.00000048000004_112.5,240.00000048000004,112.5,downtown
-60.00000012000001_25.0,-60.00000012000001,25.0,paint
-60.00000012000001_50.0,-60.00000012000001,50.0,paint
-60.00000012000001_75.0,-60.00000012000001,75.0,paint
-36.000000072000034_0.0,-36.000000072000034,0.0,paint
-36.000000072000034_25.0,-36.000000072000034,25.0,paint
-36.000000072000034_50.0,-36.000000072000034,50.0,paint
-36.000000072000034_75.0,-36.000000072000034,75.0,paint
-12.00000002400003_0.0,-12.00000002400003,0.0,paint
-12.00000002400003_25.0,-12.00000002400003,25.0,paint
-12.00000002400003_50.0,-12.00000002400003,50.0,paint
-12.00000002400003_75.0,-12.00000002400003,75.0,paint
-12.00000002400003_100.0,-12.00000002400003,100.0,paint
12.000000023999974_0.0,12.000000023999974,0.0,paint
12.000000023999974_25.0,12.000000023999974,25.0,paint
12.000000023999974_50.0,12.000000023999974,50.0,paint
12.000000023999974_75.0,12.000000023999974,75.0,paint
12.000000023999974_100.0,12.000000023999974,100.0,paint
36.00000007199998_0.0,36.00000007199998,0.0,paint
36.00000007199998_25.0,36.00000007199998,25.0,paint
36.00000007199998_50.0,36.00000007199998,50.0,paint
36.00000007199998_75.0,36.00000007199998,75.0,paint
36.00000007199998_100.0,36.00000007199998,100.0,paint
60.00000011999998_25.0,60.00000011999998,25.0,paint
60.00000011999998_75.0,60.00000011999998,75.0,paint
84.00000016799999_50.0,84.00000016799999,50.0,paint
84.00000016799999_100.0,84.00000016799999,100.0,paint
-72.00000014400001_12.5,-72.00000014400001,12.5,paint
-72.00000014400001_37.5,-72.00000014400001,37.5,paint
-48.00000009600001_12.5,-48.00000009600001,12.5,paint
-48.00000009600001_37.5,-48.00000009600001,37.5,paint
-48.00000009600001_62.5,-48.00000009600001,62.5,paint
-48.00000009600001_87.5,-48.00000009600001,87.5,paint
-24.000000048000004_12.5,-24.000000048000004,12.5,paint
-24.000000048000004_37.5,-24.000000048000004,37.5,paint
-24.000000048000004_62.5,-24.000000048000004,62.5,paint
-24.000000048000004_87.5,-24.000000048000004,87.5,paint
-24.000000048000004_112.5,-24.000000048000004,112.5,paint
0.0_12.5,0.0,12.5,paint
0.0_37.5,0.0,37.5,paint
0.0_62.5,0.0,62.5,paint
0.0_87.5,0.0,87.5,paint
0.0_112.5,0.0,112.5,paint
24.000000048000004_12.5,24.000000048000004,12.5,paint
24.000000048000004_37.5,24.000000048000004,37.5,paint
24.000000048000004_62.5,24.000000048000004,62.5,paint
24.000000048000004_87.5,24.000000048000004,87.5,paint
48.00000009600001_12.5,48.00000009600001,12.5,paint
48.00000009600001_37.5,48.00000009600001,37.5,paint
48.00000009600001_62.5,48.00000009600001,62.5,paint
48.00000009600001_87.5,48.00000009600001,87.5,paint
96.00000019199996_12.5,96.00000019199996,12.5,paint
